City_or_County,Day,Incident_Date,Incident_ID,Incident_Time,Latitude,Longitude,Month,State_Name,Total_Victims,US_Region,Victims_Injured,Victims_Killed,Year
Valley Stream,21,2023-08-21,2687693,8:30 PM,40.6765,-73.7263,8,New York,4,Northeast,3,1,2023
Seattle,20,2023-08-20,2685998,4:30 AM,47.5833,-122.302,8,Washington,9,West,6,3,2023
Denison,20,2023-08-20,2687319,10:15 PM,33.7528,-96.5512,8,Texas,4,South,3,1,2023
Minneapolis,20,2023-08-20,2686221,5:57 PM,44.9629,-93.2617,8,Minnesota,8,Midwest,8,0,2023
Milwaukee,20,2023-08-20,2686454,8:45 PM,43.0123,-87.9269,8,Wisconsin,4,Midwest,4,0,2023
Louisville,20,2023-08-20,2686543,8:20 PM,33.0149,-82.3896,8,Georgia,5,South,5,0,2023
Milwaukee,19,2023-08-19,2686047,11:45 PM,43.0101,-87.9295,8,Wisconsin,9,Midwest,9,0,2023
Philadelphia,19,2023-08-19,2685196,1:30 AM,39.9689,-75.2245,8,Pennsylvania,9,Northeast,8,1,2023
Macon,19,2023-08-19,2685332,3:00 AM,32.8214,-83.6727,8,Georgia,4,South,3,1,2023
Wilmington,19,2023-08-19,2686338,11:15 PM,39.731,-75.5418,8,Delaware,4,South,4,0,2023
Norfolk,18,2023-08-18,2684327,2:31 AM,36.8472,-76.2705,8,Virginia,4,South,4,0,2023
Chicago,18,2023-08-18,2685046,11:50 PM,41.8641,-87.7129,8,Illinois,4,Midwest,4,0,2023
Alexandria,16,2023-08-16,2684071,10:50 PM,31.3034,-92.4731,8,Louisiana,5,South,4,1,2023
East Saint Louis,16,2023-08-16,2683130,8:30 PM,38.6323,-90.1108,8,Illinois,5,Midwest,4,1,2023
Oklahoma City,16,2023-08-16,2683213,11:30 PM,35.4736,-97.6422,8,Oklahoma,4,South,0,4,2023
Louisville,16,2023-08-16,2682756,3:45 PM,38.2535,-85.7809,8,Kentucky,4,South,4,0,2023
Clarksville,15,2023-08-15,2681831,4:12 PM,36.581,-87.3026,8,Tennessee,5,South,5,0,2023
Memphis,13,2023-08-13,2680467,2:30 AM,35.132,-90.0357,8,Tennessee,8,South,8,0,2023
Cincinnati,13,2023-08-13,2679624,12:30 AM,39.125,-84.5247,8,Ohio,4,Midwest,4,0,2023
Chicago,13,2023-08-13,2680270,8:16 PM,41.7948,-87.6074,8,Illinois,4,Midwest,3,1,2023
Rockford,13,2023-08-13,2679865,3:30 AM,42.2795,-89.0925,8,Illinois,7,Midwest,7,0,2023
Chicago,13,2023-08-13,2680526,11:45 PM,41.9039,-87.6314,8,Illinois,4,Midwest,4,0,2023
Harrisburg,13,2023-08-13,2680362,3:15 AM,40.2614,-76.8846,8,Pennsylvania,4,Northeast,4,0,2023
Grand Rapids,12,2023-08-12,2679878,11:30 PM,42.9328,-85.6583,8,Michigan,4,Midwest,4,0,2023
Bothell,12,2023-08-12,2678953,4:00 AM,47.8312,-122.205,8,Washington,4,West,3,1,2023
Minneapolis,11,2023-08-11,2678825,10:00 PM,44.9602,-93.2514,8,Minnesota,7,Midwest,6,1,2023
Philadelphia,11,2023-08-11,2678274,6:00 PM,39.9833,-75.1474,8,Pennsylvania,4,Northeast,1,3,2023
Pine Bluff,11,2023-08-11,2678650,6:49 PM,34.213,-92.0132,8,Arkansas,4,South,4,0,2023
Lynnwood,10,2023-08-10,2676883,6:50 AM,47.8491,-122.237,8,Washington,5,West,1,4,2023
Crystal Lake,9,2023-08-09,2675914,3:56 AM,42.2454,-88.279,8,Illinois,4,Midwest,1,3,2023
Pittsburgh,9,2023-08-09,2677365,10:45 PM,40.4471,-79.978,8,Pennsylvania,4,Northeast,4,0,2023
Philadelphia,6,2023-08-06,2673981,11:13 PM,40.0495,-75.1231,8,Pennsylvania,5,Northeast,5,0,2023
Edinburg,6,2023-08-06,2673152,4:35 AM,26.2504,-98.1446,8,Texas,7,South,7,0,2023
Washington,5,2023-08-05,2672766,8:30 PM,38.8662,-76.9819,8,District of Columbia,5,South,2,3,2023
Lafayette,5,2023-08-05,2672510,2:14 AM,30.2281,-91.9982,8,Louisiana,5,South,4,1,2023
Kansas City,5,2023-08-05,2673896,11:39 PM,39.0945,-94.5812,8,Missouri,4,Midwest,4,0,2023
Los Angeles,3,2023-08-03,2671589,11:11 PM,33.9574,-118.285,8,California,4,West,4,0,2023
Pine Bluff,2,2023-08-02,2673196,,34.2061,-92.0383,8,Arkansas,5,South,5,0,2023
Chicago,2,2023-08-02,2670331,3:15 PM,41.7467,-87.6558,8,Illinois,4,Midwest,3,1,2023
Columbus,31,2023-07-31,2668365,4:00 PM,33.526,-88.4275,7,Mississippi,4,South,4,0,2023
Chicago,30,2023-07-30,2666859,1:00 AM,41.8605,-87.7302,7,Illinois,9,Midwest,8,1,2023
Lansing,30,2023-07-30,2667118,1:00 AM,42.6975,-84.57,7,Michigan,5,Midwest,5,0,2023
Port Arthur,30,2023-07-30,2667537,1:00 AM,29.8735,-93.9335,7,Texas,7,South,7,0,2023
Muncie,30,2023-07-30,2666933,1:14 AM,40.186,-85.3769,7,Indiana,18,Midwest,17,1,2023
Springfield,30,2023-07-30,2668556,11:00 PM,42.0913,-72.5719,7,Massachusetts,4,Northeast,4,0,2023
Los Angeles,29,2023-07-29,2667046,11:02 PM,33.9475,-118.235,7,California,4,West,3,1,2023
Tampa,28,2023-07-28,2666201,,27.9939,-82.4204,7,Florida,4,South,3,1,2023
Fort Lauderdale,28,2023-07-28,2666500,11:00 PM,26.1508,-80.1868,7,Florida,4,South,4,0,2023
Seattle,28,2023-07-28,2666189,9:00 PM,47.5204,-122.27,7,Washington,5,West,5,0,2023
Chicago Heights (Ford Heights),28,2023-07-28,2666195,7:15 PM,41.5096,-87.5871,7,Illinois,5,Midwest,4,1,2023
