City_or_County,Day,Incident_Date,Incident_ID,Incident_Time,Latitude,Longitude,Month,State_Name,Total_Victims,US_Region,Victims_Injured,Victims_Killed,Year,State_Political_Color,State_PopEstimate,City_PopEstimate
Yazoo City,6,2017-02-06,768243,,32.8634,-90.408,2,Mississippi,4,South,0,4,2017,RED,2988510,11097
Memphis,31,2017-01-31,765559,,35.0888,-89.892,1,Tennessee,4,South,4,0,2017,RED,6708799,650878
Washington,31,2017-01-31,765153,10:30 PM,38.8459,-76.9964,1,District of Columbia,4,South,4,0,2017,BLUE,694906,694906
Minneapolis,30,2017-01-30,764020,,45.0516,-93.3536,1,Minnesota,4,Midwest,4,0,2017,BLUE,5566230,420925
Shreveport,29,2017-01-29,763313,,32.4491,-93.7815,1,Louisiana,4,South,3,1,2017,RED,4670560,192023
Bremerton,27,2017-01-27,1025158,,47.5625,-122.828,1,Washington,4,West,0,4,2017,BLUE,7423362,40662
Brownsville,27,2017-01-27,761973,11:45 PM,35.5976,-89.2322,1,Tennessee,10,South,10,0,2017,RED,6708799,9637
Albany,26,2017-01-26,760482,,31.5849,-84.1832,1,Georgia,5,South,3,2,2017,PURPLE,10410330,73252
Chicago,25,2017-01-25,760259,,41.7587,-87.6123,1,Illinois,6,Midwest,6,0,2017,BLUE,12778828,2711069
Manvel,22,2017-01-22,757158,,29.5144,-95.3748,1,Texas,4,South,2,2,2017,RED,28295273,9966
Chicago,22,2017-01-22,757032,,41.7796,-87.6693,1,Illinois,4,Midwest,4,0,2017,BLUE,12778828,2711069
Atlanta,22,2017-01-22,757001,,33.6882,-84.4916,1,Georgia,4,South,1,3,2017,PURPLE,10410330,491670
Jonesboro,21,2017-01-21,756801,,33.5741,-84.3716,1,Georgia,6,South,6,0,2017,PURPLE,10410330,4705
Boynton Beach,21,2017-01-21,756526,,26.5308,-80.0617,1,Florida,5,South,5,0,2017,PURPLE,20963613,77711
Memphis,21,2017-01-21,756504,,35.0181,-90.0785,1,Tennessee,4,South,2,2,2017,RED,6708799,650878
Como,20,2017-01-20,757955,,34.5333,-89.7742,1,Mississippi,5,South,4,1,2017,RED,2988510,1205
Fresno,20,2017-01-20,756015,,36.7341,-119.741,1,California,4,West,4,0,2017,BLUE,39358497,525373
Houston,16,2017-01-16,752756,,29.6595,-95.3364,1,Texas,4,South,4,0,2017,RED,28295273,2316750
Miami,16,2017-01-16,752222,,25.8297,-80.2489,1,Florida,8,South,8,0,2017,PURPLE,20963613,456617
La Jara,15,2017-01-15,752249,,37.2836,-106.111,1,Colorado,4,West,1,3,2017,BLUE,5611885,812
Magnolia,15,2017-01-15,751367,,31.1285,-90.534,1,Mississippi,5,South,4,1,2017,RED,2988510,2275
Kansas City,12,2017-01-12,749361,,39.0128,-94.4875,1,Missouri,5,Midwest,2,3,2017,RED,6106670,488329
Salinas,12,2017-01-12,749769,,36.6852,-121.614,1,California,4,West,2,2,2017,BLUE,39358497,156463
Newark,11,2017-01-11,748152,,40.7279,-74.1388,1,New Jersey,4,Northeast,3,1,2017,BLUE,8885525,281237
Chicago,11,2017-01-11,748348,,41.8173,-87.6911,1,Illinois,4,Midwest,3,1,2017,BLUE,12778828,2711069
Flint,7,2017-01-07,745236,,43.0341,-83.6588,1,Michigan,4,Midwest,3,1,2017,PURPLE,9973114,96460
Pasadena,6,2017-01-06,744799,,34.1667,-118.153,1,California,4,West,2,2,2017,BLUE,39358497,141757
Fort Lauderdale,6,2017-01-06,743995,,26.0698,-80.1367,1,Florida,11,South,6,5,2017,PURPLE,20963613,179877
Fontana,4,2017-01-04,742542,3:00 AM,34.0442,-117.486,1,California,4,West,1,3,2017,BLUE,39358497,211122
Allen,3,2017-01-03,742001,,33.0843,-96.6665,1,Texas,4,South,4,0,2017,RED,28295273,101214
Winstonville,1,2017-01-01,743282,,33.914,-90.7515,1,Mississippi,5,South,5,0,2017,RED,2988510,172
Dallas,1,2017-01-01,739451,,32.9027,-96.7145,1,Texas,4,South,3,1,2017,RED,28295273,1342479
Miami,1,2017-01-01,739766,,25.8688,-80.2221,1,Florida,7,South,7,0,2017,PURPLE,20963613,456617
Lenox,31,2016-12-31,740447,,31.3562,-83.4982,12,Georgia,4,South,2,2,2016,PURPLE,10301890,855
Houston,31,2016-12-31,738749,1:45 AM,29.738,-95.379,12,Texas,4,South,3,1,2016,RED,27914410,2309544
Mansfield,30,2016-12-30,738041,,40.6728,-82.4973,12,Ohio,5,Midwest,5,0,2016,PURPLE,11634370,46709
Wallingford,30,2016-12-30,738576,11:15 PM,41.4494,-72.8452,12,Connecticut,5,Northeast,3,2,2016,BLUE,3578141,44643
Columbus,28,2016-12-28,736690,,32.4649,-84.949,12,Georgia,5,South,4,1,2016,PURPLE,10301890,196219
Chicago,25,2016-12-25,734157,,41.7383,-87.6039,12,Illinois,7,Midwest,4,3,2016,BLUE,12820527,2716723
Ozark,25,2016-12-25,735947,,31.4499,-85.6612,12,Alabama,4,South,4,0,2016,RED,4863525,14489
Mount Vernon,25,2016-12-25,733599,,40.9125,-73.8365,12,New York,6,Northeast,5,1,2016,BLUE,19633428,68245
Madison,24,2016-12-24,732927,,36.3893,-80.0078,12,North Carolina,7,South,7,0,2016,RED,10154788,2157
Wilson,24,2016-12-24,733176,,35.7313,-77.873,12,North Carolina,4,South,0,4,2016,RED,10154788,49192
Birmingham,23,2016-12-23,732263,,33.5384,-86.7826,12,Alabama,4,South,3,1,2016,RED,4863525,211977
Chicago,23,2016-12-23,732574,,41.8888,-87.7482,12,Illinois,4,Midwest,4,0,2016,BLUE,12820527,2716723
Charlotte,17,2016-12-17,728286,,35.2578,-80.7963,12,North Carolina,4,South,4,0,2016,RED,10154788,843117
Chicago,17,2016-12-17,727759,,41.7037,-87.6259,12,Illinois,5,Midwest,0,5,2016,BLUE,12820527,2716723
Chicago,16,2016-12-16,727555,,41.8646,-87.7056,12,Illinois,4,Midwest,4,0,2016,BLUE,12820527,2716723
Chicago,16,2016-12-16,727544,,41.8156,-87.6895,12,Illinois,4,Midwest,2,2,2016,BLUE,12820527,2716723
Sacramento,12,2016-12-12,724667,,38.6537,-121.353,12,California,4,West,3,1,2016,BLUE,39167117,494127
Kings,11,2016-12-11,723649,,40.7036,-73.9272,12,New York,4,Northeast,4,0,2016,BLUE,19633428,2608423
Orlando,11,2016-12-11,723643,,28.596,-81.451,12,Florida,5,South,4,1,2016,PURPLE,20613477,278512
Baltimore,11,2016-12-11,723292,,39.235,-76.6114,12,Maryland,5,South,5,0,2016,BLUE,6003323,616226
Rocky Mount,11,2016-12-11,725338,,35.9468,-77.7798,12,North Carolina,4,South,4,0,2016,RED,10154788,54992
Harris,9,2016-12-09,725323,10:00 AM,29.7716,-95.1393,12,Texas,4,South,0,4,2016,RED,27914410,4623960
Fresno,9,2016-12-09,722452,,36.7277,-119.803,12,California,4,West,4,0,2016,BLUE,39167117,521426
Albuquerque,5,2016-12-05,719128,,35.0483,-106.49,12,New Mexico,4,West,1,3,2016,BLUE,2091630,559192
Los Angeles,3,2016-12-03,717873,,33.9545,-118.309,12,California,6,West,6,0,2016,BLUE,39167117,3963226
Bloomfield,2,2016-12-02,717616,,40.7701,-74.1891,12,New Jersey,6,Northeast,6,0,2016,BLUE,8870827,48220
Clearlake,1,2016-12-01,716001,2:16 AM,39.0087,-122.672,12,California,4,West,3,1,2016,BLUE,39167117,15526
Baltimore,30,2016-11-30,715101,,39.3205,-76.6771,11,Maryland,6,South,4,2,2016,BLUE,6003323,616226
Mission,28,2016-11-28,712796,,26.2335,-98.3845,11,Texas,4,South,3,1,2016,RED,27914410,83257
Lomita,28,2016-11-28,712776,,33.7832,-118.272,11,California,4,West,4,0,2016,BLUE,39167117,20629
Lomita,28,2016-11-28,713445,,33.7424,-118.284,11,California,4,West,4,0,2016,BLUE,39167117,20629
New Orleans,27,2016-11-27,711597,,29.9542,-90.0692,11,Louisiana,10,South,9,1,2016,RED,4678135,391843
Kansas City,27,2016-11-27,711744,,38.998,-94.5569,11,Missouri,7,Midwest,7,0,2016,RED,6087135,481670
Chicago,26,2016-11-26,710732,,41.7354,-87.5532,11,Illinois,6,Midwest,5,1,2016,BLUE,12820527,2716723
New Orleans,25,2016-11-25,710467,,29.9442,-90.0864,11,Louisiana,4,South,4,0,2016,RED,4678135,391843
Jefferson,24,2016-11-24,709370,,38.2506,-85.827,11,Kentucky,6,South,4,2,2016,RED,4438182,767464
Albany,24,2016-11-24,709276,,42.6591,-73.7658,11,New York,4,Northeast,3,1,2016,BLUE,19633428,97941
Olive Branch,23,2016-11-23,708777,,34.9898,-89.7674,11,Mississippi,4,South,4,0,2016,RED,2987938,36666
Clewiston,22,2016-11-22,708392,,26.7371,-80.9531,11,Florida,5,South,4,1,2016,PURPLE,20613477,7670
Chicago,18,2016-11-18,704568,,41.9116,-87.7512,11,Illinois,4,Midwest,4,0,2016,BLUE,12820527,2716723
Dyersburg,17,2016-11-17,703245,,36.0293,-89.3647,11,Tennessee,8,South,7,1,2016,RED,6646010,16551
Jacksonville,13,2016-11-13,699605,,30.3648,-81.706,11,Florida,5,South,2,3,2016,PURPLE,20613477,880520
San Antonio,13,2016-11-13,699332,,29.507,-98.3812,11,Texas,4,South,4,0,2016,RED,27914410,1487843
San Diego,13,2016-11-13,700232,,32.7478,-117.106,11,California,4,West,2,2,2016,BLUE,39167117,1402089
Orlando,13,2016-11-13,699316,,28.5325,-81.4343,11,Florida,4,South,4,0,2016,PURPLE,20613477,278512
Sacramento,12,2016-11-12,699033,,38.4564,-121.384,11,California,6,West,5,1,2016,BLUE,39167117,494127
Kansas City,12,2016-11-12,700363,,39.0862,-94.5382,11,Missouri,4,Midwest,3,1,2016,RED,6087135,481670
Bridgeport,12,2016-11-12,699303,,41.1926,-73.2146,11,Connecticut,5,Northeast,5,0,2016,BLUE,3578141,146287
Houston,11,2016-11-11,699863,,29.7169,-95.2832,11,Texas,4,South,4,0,2016,RED,27914410,2309544
Houston,10,2016-11-10,698383,,29.8671,-95.5636,11,Texas,4,South,3,1,2016,RED,27914410,2309544
Chicago,9,2016-11-09,697377,,41.8796,-87.711,11,Illinois,4,Midwest,3,1,2016,BLUE,12820527,2716723
Memphis,9,2016-11-09,696352,,35.061,-90.0037,11,Tennessee,4,South,4,0,2016,RED,6646010,652548
Seattle,9,2016-11-09,696917,6:45 PM,47.6101,-122.338,11,Washington,5,West,5,0,2016,BLUE,7294771,709631
San Antonio,5,2016-11-05,693438,,29.5376,-98.4109,11,Texas,4,South,4,0,2016,RED,27914410,1487843
Myrtle Beach,5,2016-11-05,693401,,33.6933,-78.885,11,South Carolina,5,South,5,0,2016,RED,4957968,31724
Fort Lauderdale,5,2016-11-05,693624,5:00 AM,26.1217,-80.1869,11,Florida,4,South,3,1,2016,PURPLE,20613477,178837
Oakland,5,2016-11-05,693374,,37.8041,-122.27,11,California,6,West,6,0,2016,BLUE,39167117,420947
Chicago,5,2016-11-05,693290,,41.9694,-87.658,11,Illinois,5,Midwest,5,0,2016,BLUE,12820527,2716723
